age price stores metro trails
32 37.9 10 84.87882 6321.7563152238545
19.5 42.2 9 306.5947 7176.126486781109
13.3 47.3 5 561.9845 7524.620593172446
13.3 54.8 5 561.9845 5109.945079038202
5 43.1 5 390.5684 7210.7050889753855
7.1 32.1 3 2175.03 5730.408961412643
34.5 40.3 7 623.4731 6303.752043959332
20.3 46.7 6 287.6025 6612.352978497513
31.7 18.8 1 5512.038 2107.3338917614265
17.9 22.1 3 1783.18 5084.56737319841
34.8 41.4 1 405.2134 6560.102048749545
6.3 58.1 9 90.45606 6463.862041285975
13 39.3 5 492.2313 6274.748972033758
20.4 23.8 4 2469.645 5166.204491228982
13.2 34.3 4 1164.838 6918.271315218284
35.7 50.5 2 579.2083 6668.771877741276
0 70.1 6 292.9978 6632.7902352774645
17.7 37.4 1 350.8515 6301.327749549472
16.9 42.3 8 368.1363 6338.574248834299
1.5 47.7 7 23.38284 8925.00850274182
4.5 29.3 3 2275.877 5381.841152034662
10.5 51.6 7 279.1726 6658.985456017179
14.7 24.6 1 1360.139 5764.761188576309
10.1 47.9 7 279.1726 7327.9398833324
39.6 38.8 4 480.6977 6342.766940821022
29.3 27 2 1487.868 4945.578688202106
3.1 56.2 5 383.8624 7318.9897626193015
10.4 33.6 5 276.449 6286.13881642783
19.2 47 4 557.478 6754.437367923487
7.1 57.1 5 451.2438 6197.5755344427225
25.9 22.1 0 4519.69 4133.973141450426
29.6 25 7 769.4034 6248.062364286314
37.9 34.2 1 488.5727 6324.929174289175
16.5 49.3 6 323.655 6613.292825529853
15.4 55.1 7 205.367 5921.058924036986
13.9 27.3 0 4079.418 2914.6342539613743
14.7 22.9 2 1935.009 4045.902347348612
12 25.3 1 1360.139 5130.88502731568
3.1 47.7 6 577.9615 6540.309739644553
16.2 46.2 5 289.3248 6667.70558830455
13.6 15.9 0 4082.015 4754.741895027182
16.8 18.2 0 4066.587 2995.3429657638735
36.1 34.7 5 519.4617 6195.64296362855
34.4 34.1 6 512.7871 6605.97670235275
2.7 53.9 4 533.4762 6085.758994518879
36.6 38.3 8 488.8193 6142.339574902126
21.7 42 9 463.9623 6066.001853991238
35.9 61.5 3 640.7391 5812.15202448094
24.2 13.4 0 4605.749 2915.2462693751722
29.4 13.2 1 4510.359 3016.2633152638937
21.7 44.2 4 512.5487 5532.357552998746
31.3 20.7 1 1758.406 5322.6628608168285
32.1 27 3 1438.579 5226.826021882243
13.3 38.9 5 492.2313 6106.708359031321
16.1 51.7 5 289.3248 6881.418961571088
31.7 13.7 0 1160.632 6642.811960811319
33.6 41.9 8 371.2495 8085.226523386916
3.5 53.5 7 56.47425 6651.496798969543
30.3 22.6 1 4510.359 4496.518856911959
13.3 42.4 5 336.0532 6140.447341176652
11 21.3 2 1931.207 6046.040223614776
5.3 63.2 6 259.6607 8815.570194579494
17.2 27.7 3 2175.877 5348.9683955487935
2.6 55 4 533.4762 6314.338901714618
17.5 25.3 0 995.7554 6382.867414611785
40.1 44.3 8 123.7429 8389.055202550657
1 50.7 6 193.5845 6276.4722698230125
8.5 56.8 5 104.8101 8117.235309138336
30.4 36.2 6 464.223 7781.242235310825
12.5 42 5 561.9845 6998.081874239517
6.6 59 9 90.45606 7171.536965148399
35.5 40.8 3 640.7391 6372.867062639263
32.5 36.3 8 424.5442 6621.385781262358
13.8 20 0 4082.015 4190.723496065534
6.8 54.4 10 379.5575 8375.472167500373
12.3 29.5 1 1360.139 5966.902499491163
35.9 36.8 3 616.4004 5735.431140316722
20.5 25.6 3 2185.128 4856.111802462128
38.2 29.8 2 552.4371 6951.234326212919
18 26.5 1 1414.837 5804.657526876864
11.8 40.3 4 533.4762 6660.5764135493955
30.8 36.8 6 377.7956 6799.933612570978
13.2 48.1 7 150.9347 6148.635699753633
25.3 17.7 3 2707.392 4794.051354093743
15.1 43.7 7 383.2805 7513.414193225915
0 50.8 9 338.9679 7444.077802035243
1.8 27 1 1455.798 6379.807094274951
16.9 18.3 0 4066.587 3464.1165154414816
8.9 48 0 1406.43 5900.209076925874
23 25.3 0 3947.945 3008.744891956807
0 45.4 1 274.0144 6971.421892253097
9.1 43.2 0 1402.016 6218.526130189234
20.6 21.8 4 2469.645 6321.756067416019
31.9 16.1 0 1146.329 6963.766911319947
40.9 41 5 167.5989 6751.479634403465
8 51.8 5 104.8101 7404.63436570301
6.4 59.5 9 90.45606 6367.967685288175
28.4 34.6 3 617.4424 7331.749850433704
16.4 51 5 289.3248 7680.5711797055465
6.4 62.2 9 90.45606 8659.863166615973
17.5 38.2 4 964.7496 6706.690006780823
12.7 32.9 1 170.1289 6763.992169129686
1.1 54.4 6 193.5845 7124.461578075056
0 45.7 6 208.3905 6711.5497463002275
32.7 30.5 6 392.4459 6325.535900074129
0 71 6 292.9978 7110.073261914497
17.2 47.1 8 189.5181 6450.568452640526
12.2 26.6 1 1360.139 6193.284157849629
31.4 34.1 2 592.5006 6984.861222361751
4 28.4 3 2147.376 5361.266340684533
8.1 51.6 5 104.8101 7016.4118565721965
33.3 39.4 7 196.6172 6618.478900445094
9.9 23.1 3 2102.427 4655.367569412108
14.8 7.6 6 393.2606 7504.157908324508
30.6 53.3 8 143.8383 7136.523775755947
20.6 46.4 2 737.9161 7195.024515648621
30.9 12.2 1 6396.283 868.3983567262949
13.6 13 0 4197.349 3754.168906869501
25.3 30.6 3 1583.722 6356.511515422653
16.6 59.6 5 289.3248 6977.180655482112
13.3 31.3 5 492.2313 6686.467371437898
13.6 48 5 492.2313 6270.7696690167195
31.5 32.5 4 414.9476 8336.516195208926
0 45.5 0 185.4296 7613.339164152307
9.9 57.4 7 279.1726 8288.574967397073
1.1 48.6 6 193.5845 7134.363562475663
38.6 62.9 4 804.6897 6108.0316372298375
3.8 55 5 383.8624 5849.093495283927
41.3 60.7 6 124.9912 6689.2001421325695
38.5 41 7 216.8329 7217.320568331931
29.6 37.5 8 535.527 7497.565658536786
4 30.7 3 2147.376 5575.871794897574
26.6 37.5 5 482.7581 6004.342484800863
18 39.5 8 373.3937 7394.134725455597
33.4 42.2 6 186.9686 5922.091261406353
18.9 20.8 0 1009.235 6119.084974850211
11.4 46.8 5 390.5684 6686.084911746433
13.6 47.4 6 319.0708 5598.615231380962
10 43.5 0 942.4664 7081.726216952333
12.9 42.5 5 492.2313 6382.723749895866
16.2 51.4 5 289.3248 6760.5301865335105
5.1 28.9 3 1559.827 6885.303839005556
19.8 37.5 5 640.6071 7141.8040519751485
13.6 40.1 5 492.2313 6744.868102830657
11.9 28.4 1 1360.139 6436.556308931478
2.1 45.5 5 451.2438 7137.515326875958
0 52.2 0 185.4296 8255.599242354889
3.2 43.2 8 489.8821 7017.437103808372
16.4 45.1 0 3780.59 4349.945908640611
34.9 39.7 8 179.4538 7334.818013165742
35.8 48.5 7 170.7311 6832.096798123593
4.9 44.7 9 387.7721 6979.743687404542
12 28.9 1 1360.139 7228.496887136649
6.5 40.9 6 376.1709 6304.618677916531
16.9 20.7 0 4066.587 3833.337113135099
13.8 15.6 0 4082.015 4693.240132781834
30.7 18.3 0 1264.73 5991.766982121455
16.1 35.6 4 815.9314 5801.313087394316
11.6 39.4 5 390.5684 6296.327518835814
15.5 37.4 4 815.9314 6268.217648349154
3.5 57.8 8 49.66105 6605.264874452396
19.2 39.6 3 616.4004 6530.947608124913
16 11.6 0 4066.587 3455.888837612926
8.5 55.5 5 104.8101 7025.481532227937
0 55.2 0 185.4296 7371.567877622785
13.7 30.6 1 1236.564 6620.866162322697
0 73.6 6 292.9978 8173.906978405959
28.2 43.4 8 330.0854 6912.27074924633
27.6 37.4 5 515.1122 6575.666319482001
8.4 23.5 1 1962.628 6592.337381697028
24 14.4 0 4527.687 4550.9020038515655
3.6 58.8 5 383.8624 6944.8275807363425
6.6 58.1 9 90.45606 6932.507736255403
41.3 35.1 4 401.8807 5616.113535355208
4.3 45.2 7 432.0385 7866.42930597395
30.2 36.5 3 472.1745 6248.822998318416
13.9 19.2 0 4573.779 2520.4080338061285
33 42 9 181.0766 9231.445347221315
13.1 36.7 4 1144.436 6425.816155413895
14 42.6 1 438.8513 6843.68812011571
26.9 15.5 0 4449.27 1495.186072505816
11.6 55.9 8 201.8939 7000.611234745614
13.5 23.6 3 2147.376 6085.03204480161
17 18.8 0 4082.015 4025.7031909388816
14.1 21.8 0 2615.465 5637.674996908107
31.4 21.5 3 1447.286 7396.416407682067
20.9 25.7 3 2185.128 6188.48727255748
8.9 22 0 3078.176 4239.424644906758
34.8 44.3 8 190.0392 7576.76712836111
16.3 20.5 0 4066.587 3607.9462958751114
35.3 42.3 8 616.5735 6335.498562493835
13.2 37.8 2 750.0704 4589.1488918350115
43.8 42.7 7 57.58945 6639.06794444938
9.7 49.3 5 421.479 7225.440456617879
15.2 29.3 0 3771.895 5527.2327732988815
15.2 34.6 5 461.1016 7200.43608780481
22.8 36.6 2 707.9067 7072.343234012787
34.4 48.2 8 126.7286 6455.538256704695
34 39.1 7 157.6052 7223.445542804293
18.2 31.6 8 451.6419 5393.109169064455
17.4 25.5 0 995.7554 6729.800405288418
13.1 45.9 5 561.9845 7251.715302693586
38.3 31.5 3 642.6985 6822.407386191386
15.6 46.1 5 289.3248 7488.965468428447
18 26.6 1 1414.837 6247.264512475935
12.8 21.4 3 1449.722 6533.19046527629
22.2 44 10 379.5575 8215.105321740157
38.5 34.2 3 665.0636 7455.638917032625
11.5 26.2 1 1360.139 6097.882691451956
34.8 40.9 8 175.6294 6308.9185732106625
5.2 52.2 5 390.5684 7202.914473983629
0 43.5 1 274.0144 6727.094487732836
17.6 31.1 2 1805.665 6743.139522203059
6.2 58 9 90.45606 6035.366360978323
18.1 20.9 3 1783.18 5418.445075918397
19.2 48.1 8 383.7129 7211.590519230604
37.8 39.7 1 590.9292 6629.513300824166
28 40.8 6 372.6242 6497.3440155102535
13.6 43.8 5 492.2313 6606.688525597024
29.3 40.2 8 529.7771 7232.081319722992
37.2 78.3 9 186.5101 7714.252097075015
9 38.5 0 1402.016 6503.641041182367
30.6 48.5 10 431.1114 8474.194427227807
9.1 42.3 0 1402.016 6864.972352234414
34.5 46 6 324.9419 7167.586827382953
1.1 49 6 193.5845 6613.554111786113
16.5 12.8 0 4082.015 5789.310226284942
32.4 40.2 8 265.0609 7493.414998530427
11.9 46.6 0 3171.329 4035.719313244199
31 19 0 1156.412 6381.355471569151
4 33.4 3 2147.376 5169.586751930084
16.2 14.7 0 4074.736 3547.235449294095
27.1 17.4 1 4412.765 2792.7981936218066
39.7 32.4 9 333.3679 7040.059898769052
8 23.9 4 2216.612 5563.085951008984
12.9 39.3 7 250.631 6270.405836802166
3.6 61.9 10 373.8389 4646.999731307474
13 39 0 732.8528 6434.86872008452
12.8 40.6 0 732.8528 6635.069233593662
18.1 29.7 0 837.7233 6942.45620727368
11 28.8 2 1712.632 5813.40978551479
13.7 41.4 7 250.631 7319.966479865344
2 33.4 3 2077.39 4685.340823709197
32.8 48.2 8 204.1705 7569.539916583133
4.8 21.7 3 1559.827 6409.2454347322155
7.5 40.8 5 639.6198 6871.6125630692395
16.4 40.6 6 389.8219 7864.725931115755
21.7 23.1 0 1055.067 6621.948032089234
19 22.3 0 1009.235 6562.731266802871
18 15 1 6306.153 2010.5196748596727
39.2 30 7 424.7132 7186.839112335519
31.7 13.8 0 1159.454 6993.740237200592
5.9 52.7 9 90.45606 7485.00797837787
30.4 25.9 2 1735.595 6218.899594297098
1.1 51.8 5 329.9747 6160.763569402766
31.5 17.4 1 5512.038 2243.869803286585
14.6 26.5 1 339.2289 7992.491105065892
17.3 43.9 1 444.1334 6000.981260512759
0 63.3 6 292.9978 7174.189176404563
17.7 28.8 0 837.7233 6809.217294891092
17 30.7 4 1485.097 6654.362727199651
16.2 24.4 3 2288.011 5031.41986672681
15.9 53 5 289.3248 7107.343865537987
3.9 31.7 3 2147.376 4156.687742016101
32.6 40.6 7 493.657 7058.331140635457
15.7 38.1 4 815.9314 6073.616761023541
17.8 23.7 3 1783.18 5543.119766408372
34.7 41.1 5 482.7581 5993.207994162573
17.2 40.1 5 390.5684 7179.597607227027
17.6 23 0 837.7233 6993.3564506109215
10.8 117.5 1 252.5822 6812.837427383862
17.7 26.5 8 451.6419 8140.8343096606795
