quantity tenure age product snowshoes
6 33 31 waterSports 0
10 35 47 mountainSports 0
12 36 55 mountainSports 0
16 24 54 mountainSports 0
16 31 20 winterSports 1
10 27 65 winterSports 1
8 29 34 mountainSports 1
8 26 67 waterSports 0
8 33 51 winterSports 1
20 32 57 mountainSports 1
10 36 43 winterSports 1
8 48 50 mountainSports 0
2 34 57 mountainSports 0
8 38 59 waterSports 0
6 38 40 waterSports 0
14 28 60 winterSports 1
12 28 45 winterSports 1
16 33 49 mountainSports 1
8 49 48 winterSports 1
4 21 43 mountainSports 1
10 32 48 waterSports 0
12 47 62 winterSports 1
6 33 46 winterSports 1
12 41 37 mountainSports 1
12 37 62 mountainSports 1
12 46 44 winterSports 1
6 22 22 waterSports 0
4 40 33 mountainSports 0
12 32 32 mountainSports 0
10 28 30 winterSports 1
4 30 58 mountainSports 0
6 23 66 mountainSports 0
8 20 65 mountainSports 1
10 51 42 winterSports 1
16 35 63 winterSports 1
12 61 58 mountainSports 1
10 29 66 mountainSports 0
12 19 57 winterSports 1
12 45 45 mountainSports 1
6 16 63 winterSports 1
8 38 56 winterSports 1
6 19 23 winterSports 1
8 29 43 winterSports 1
4 24 21 winterSports 1
10 33 50 mountainSports 1
8 26 53 mountainSports 0
10 22 36 winterSports 1
8 40 38 winterSports 1
12 68 55 winterSports 1
6 24 31 winterSports 1
12 51 53 winterSports 1
18 39 56 winterSports 1
10 40 49 waterSports 0
6 32 57 waterSports 0
28 39 59 mountainSports 1
6 18 20 waterSports 0
14 30 49 mountainSports 1
4 18 20 winterSports 1
4 28 63 winterSports 1
18 28 56 winterSports 1
8 23 46 mountainSports 0
12 29 44 mountainSports 0
10 33 37 mountainSports 0
8 37 39 mountainSports 0
8 28 34 winterSports 1
8 19 66 winterSports 1
6 33 48 winterSports 1
4 23 20 winterSports 1
6 19 21 winterSports 1
14 38 64 winterSports 1
6 30 37 winterSports 1
14 26 56 mountainSports 1
6 27 32 winterSports 1
12 43 57 winterSports 1
8 30 64 winterSports 1
10 31 56 winterSports 1
8 32 28 mountainSports 0
12 55 54 winterSports 1
12 31 59 winterSports 1
14 39 64 waterSports 0
4 23 44 winterSports 1
12 21 30 winterSports 1
4 24 22 mountainSports 0
4 18 21 mountainSports 0
10 34 67 winterSports 1
8 32 29 waterSports 0
8 15 19 winterSports 1
4 27 37 mountainSports 0
6 24 40 mountainSports 0
8 26 38 winterSports 1
10 22 45 waterSports 0
8 23 47 winterSports 1
4 39 53 waterSports 0
10 24 65 winterSports 1
8 16 32 winterSports 1
14 41 66 mountainSports 1
8 20 36 mountainSports 0
22 50 63 winterSports 1
10 44 57 winterSports 1
10 35 63 waterSports 0
22 39 52 mountainSports 0
10 27 53 winterSports 1
8 38 31 mountainSports 0
10 36 52 winterSports 1
6 62 48 winterSports 1
4 19 21 winterSports 1
4 34 28 winterSports 1
